Paper,Proximity
1,187
2,187
3,220
4,239
5,239
6,239
7,261
8,261
9,273
10,273
11,273
12,273
13,333
14,380
15,416
16,430
17,500
18,867
19,928
20,968
21,988
22,1165
23,1295
24,1688
25,1697
26,1981
27,36
28,199
29,239
30,261
31,362
32,389
33,444
34,834
35,1209
36,1234
37,2181
38,12
39,12
40,23
41,23
42,23
43,61
44,61
45,61
46,156
47,372
48,402
49,584
50,584
51,584
52,598
53,598
54,598
55,598
56,598
57,598
58,598
59,635
60,667
61,670
62,702
63,768
64,768
65,869
66,872
67,987
68,1087
69,1087
70,1087
71,1087
72,1087
73,1101
74,1101
75,1101
76,1101
77,1185
78,1185
79,1322
80,1322
81,1544
82,1573
83,1573
84,1573
85,1575
86,1826
87,1826
88,1826
89,1826
90,1826
91,2130
92,2169
93,2205
94,2210
95,2309
96,2338
97,2430
98,2869
99,2962
100,3183
101,3306
102,3395
103,3425
104,3459
105,3538
106,3662
107,3664
108,79
109,79
110,79
111,79
112,79
113,124
114,124
115,124
116,124
117,124
118,124
119,124
120,124
121,124
122,275
123,275
124,275
125,275
126,275
127,733
128,733
129,733
130,733
131,733
132,740
133,745
134,853
135,853
136,855
137,857
138,928
139,952
140,968
141,970
142,984
143,1005
144,1030
145,1049
146,1067
147,1082
148,1116
149,1116
150,1116
151,1116
152,1121
153,1128
154,1191
155,1193
156,1518
157,2067
158,2135
159,2269
160,2270
161,2272
162,2345
163,2416
164,2487
165,2769
166,2769
167,2769
168,2769
169,2827
170,112
171,114
172,124
173,289
174,289
175,325
176,325
177,454
178,454
179,454
180,775
181,997
182,997
183,997
184,997
185,997
186,997
187,997
188,997
189,997
190,997
191,1005
192,1100
193,1176
194,1176
195,1176
196,1176
197,1176
198,1177
199,1239
200,1245
201,1250
202,1253
203,1273
204,1300
205,1328
206,1445
207,1469
208,1496
209,1517
210,1590
211,1644
212,1644
213,1647
214,1662
215,1692
216,1701
217,1733
218,1813
219,1832
220,1924
221,1926
222,1928
223,1930
224,1930
225,1933
226,1936
227,1941
228,1944
229,1966
230,1987
231,2021
232,2021
233,2021
234,2028
235,2138
236,2150
237,2269
238,2309
239,3924
240,4366
241,5888
242,5901
243,6912
244,6928
245,6973
246,10
247,39
248,134
249,190
250,265
251,400
252,360
253,360
254,360
255,360
256,360
257,360
258,389
259,389
260,389
261,389
262,389
263,401
264,401
265,401
266,401
267,401
268,401
269,401
270,419
271,419
272,419
273,424
274,477
275,544
276,544
277,544
278,544
279,544
280,544
281,544
282,583
283,597
284,609
285,641
286,654
287,654
288,678
289,692
290,695
291,698
292,701
293,727
294,744
295,760
296,760
297,773
298,787
299,801
300,818
301,818
302,818
303,939
304,1060
305,1066
306,1081
307,1147
308,1161
309,1442
310,1567
311,1574
312,1624
313,1779
314,1779
315,2331
316,2449
317,2453
318,2965
319,2999
320,3063
321,3325
322,3378
323,3511
324,16
325,16
326,19
327,19
328,49
329,49
330,65
331,140
332,159
333,198
334,198
335,198
336,291
337,363
338,527
339,552
340,552
341,560
342,560
343,560
344,560
345,573
346,573
347,573
348,599
349,610
350,649
351,667
352,686
353,722
354,744
355,792
356,834
357,872
358,888
359,908
360,918
361,962
362,994
363,1018
364,1051
365,1060
366,1082
367,1112
368,1131
369,1174
370,1174
371,1174
372,1201
373,1241
374,1284
375,1327
376,1358
377,1574
378,1738
379,1773
380,1859
381,1958
382,1988
383,2006
384,2073
385,2135
386,2147
387,2163
388,2176
389,2318
390,2361
391,2561
392,2850
393,2870
394,2872
395,2885
396,2978
397,3036
398,3036
399,3040
400,3097
401,3157
402,3240
403,3273
404,3349
405,3349
406,3360
407,3612
408,4218
409,4283
410,4426
411,4474
412,4476
413,4585
414,4515
415,4557
416,4557
417,4557
418,4627
419,4709
420,4810
421,4810
422,4832
423,4934
424,4934
425,4934
426,4934
427,523
